addr,responded,resp_len,data_hex,name,note
0x30000000,0,0,,Track 1 clip 1 tone,verified: mcpoker
0x30020000,1,32,20202020202020202020202020202020,Track 1 clip 2 tone,clip-N stride = 0x20000
0x301E0000,1,32,20202020202020202020202020202020,Track 1 clip 16 tone,16 clips per track
0x30220000,1,32,20202020202020202020202020202020,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x30440000,1,32,494e495420544f4e4520202020202020,Track 3 clip 1 tone,
0x30660000,1,32,20202020202020202020202020202020,Track 4 clip 1 tone,
0x31080000,1,32,20202020202020202020202020202020,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x312A0000,1,32,20202020202020202020202020202020,Track 6 clip 1 tone,
0x314C0000,1,32,20202020202020202020202020202020,Track 7 clip 1 tone,
0x316E0000,1,32,20202020202020202020202020202020,Track 8 clip 1 tone,
0x30002000,1,32,20202020202020202020202020202020,"Track 1 tone, partial 1",+0x2000 = P1 base
0x30002100,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 2",
0x30002200,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 3",
0x30002300,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 4",
0x00110000,1,32,7f40400000000040080000400100000c,System block-set A base,RE: special-cased at 0x25da
0x00111000,0,0,,System block-set A +0x1000,
0x00111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x00125000,0,0,,System block-set B,RE: mask 0xfff000
0x00011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x00012000,0,0,,Per-part block 0x12000,
0x00013000,0,0,,Per-part block 0x13000,
0x00014000,0,0,,Per-part block 0x14000,
0x00112000,0,0,,Overlay 0x00112000,
0x00200000,0,0,,Domain boundary,RE: domain-tag switch
