addr,responded,resp_len,data_hex,name,note
0x00000000,0,0,,Track 1 clip 1 tone,verified: mcpoker
0x10000000,1,29,00000000000101010101100001020304,Track 1 clip 1 tone,verified: mcpoker
0x20000000,1,31,54726967676572466e6b746e5f303131,Track 1 clip 1 tone,verified: mcpoker
0x30000000,1,31,494e54524f2020202020202020202020,Track 1 clip 1 tone,verified: mcpoker
0x40000000,1,32,20202020202020202020202020202020,Track 1 clip 1 tone,verified: mcpoker
0x00020000,1,30,20202020202020202020202020202020,Track 1 clip 2 tone,clip-N stride = 0x20000
0x10020000,0,0,,Track 1 clip 2 tone,clip-N stride = 0x20000
0x20020000,1,32,01040000010008000000000000000000,Track 1 clip 2 tone,clip-N stride = 0x20000
0x30020000,1,32,20202020202020202020202020202020,Track 1 clip 2 tone,clip-N stride = 0x20000
0x40020000,1,30,20202020202020202020202020202020,Track 1 clip 2 tone,clip-N stride = 0x20000
0x001E0000,0,0,,Track 1 clip 16 tone,16 clips per track
0x101E0000,0,0,,Track 1 clip 16 tone,16 clips per track
0x201E0000,1,9,000000500040000000,Track 1 clip 16 tone,16 clips per track
0x301E0000,1,32,20202020202020202020202020202020,Track 1 clip 16 tone,16 clips per track
0x401E0000,1,30,20202020202020202020202020202020,Track 1 clip 16 tone,16 clips per track
0x00220000,0,0,,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x10220000,0,0,,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x20220000,1,32,01040000010008000000000000000000,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x30220000,1,32,494e495420544f4e4520202020202020,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x40220000,1,30,20202020202020202020202020202020,Track 2 clip 1 tone,track stride = 0x220000 for T2-T4
0x00440000,0,0,,Track 3 clip 1 tone,
0x10440000,0,0,,Track 3 clip 1 tone,
0x20440000,1,32,0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f,Track 3 clip 1 tone,
0x30440000,1,32,20202020202020202020202020202020,Track 3 clip 1 tone,
0x40440000,1,30,20202020202020202020202020202020,Track 3 clip 1 tone,
0x00660000,0,0,,Track 4 clip 1 tone,
0x10660000,0,0,,Track 4 clip 1 tone,
0x20660000,1,9,000000500040000000,Track 4 clip 1 tone,
0x30660000,1,32,20202020202020202020202020202020,Track 4 clip 1 tone,
0x40660000,1,30,20202020202020202020202020202020,Track 4 clip 1 tone,
0x00080000,0,0,,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x10080000,0,0,,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x20080000,1,31,44524f50204120202020202020202020,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x30080000,1,32,20202020202020202020202020202020,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x40080000,1,30,20202020202020202020202020202020,Track 5 clip 1 tone,T5-T8 base +0x01000000 (MC-707 only)
0x002A0000,0,0,,Track 6 clip 1 tone,
0x102A0000,0,0,,Track 6 clip 1 tone,
0x202A0000,1,32,01040000010008000000000000000000,Track 6 clip 1 tone,
0x302A0000,1,32,494e495420544f4e4520202020202020,Track 6 clip 1 tone,
0x402A0000,1,30,20202020202020202020202020202020,Track 6 clip 1 tone,
0x004C0000,0,0,,Track 7 clip 1 tone,
0x104C0000,0,0,,Track 7 clip 1 tone,
0x204C0000,1,32,0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f,Track 7 clip 1 tone,
0x304C0000,1,32,20202020202020202020202020202020,Track 7 clip 1 tone,
0x404C0000,1,30,20202020202020202020202020202020,Track 7 clip 1 tone,
0x006E0000,0,0,,Track 8 clip 1 tone,
0x106E0000,0,0,,Track 8 clip 1 tone,
0x206E0000,1,9,000000500040000000,Track 8 clip 1 tone,
0x306E0000,1,32,20202020202020202020202020202020,Track 8 clip 1 tone,
0x406E0000,1,30,20202020202020202020202020202020,Track 8 clip 1 tone,
0x00002000,0,0,,"Track 1 tone, partial 1",+0x2000 = P1 base
0x10002000,1,32,52017f7f004000400040004000000000,"Track 1 tone, partial 1",+0x2000 = P1 base
0x20002000,0,0,,"Track 1 tone, partial 1",+0x2000 = P1 base
0x30002000,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 1",+0x2000 = P1 base
0x40002000,0,0,,"Track 1 tone, partial 1",+0x2000 = P1 base
0x00002100,0,0,,"Track 1 tone, partial 2",
0x10002100,1,16,08000000080000000800000008000000,"Track 1 tone, partial 2",
0x20002100,0,0,,"Track 1 tone, partial 2",
0x30002100,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 2",
0x40002100,0,0,,"Track 1 tone, partial 2",
0x00002200,0,0,,"Track 1 tone, partial 3",
0x10002200,1,32,49017f7f004000400040004000000000,"Track 1 tone, partial 3",
0x20002200,0,0,,"Track 1 tone, partial 3",
0x30002200,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 3",
0x40002200,0,0,,"Track 1 tone, partial 3",
0x00002300,0,0,,"Track 1 tone, partial 4",
0x10002300,1,16,08000000080000000800000008000000,"Track 1 tone, partial 4",
0x20002300,0,0,,"Track 1 tone, partial 4",
0x30002300,1,32,7f40400000000040080000400100000c,"Track 1 tone, partial 4",
0x40002300,0,0,,"Track 1 tone, partial 4",
0x00110000,0,0,,System block-set A base,RE: special-cased at 0x25da
0x10110000,0,0,,System block-set A base,RE: special-cased at 0x25da
0x20110000,1,32,64404040020219020800704040404040,System block-set A base,RE: special-cased at 0x25da
0x30110000,0,0,,System block-set A base,RE: special-cased at 0x25da
0x40110000,1,30,20202020202020202020202020202020,System block-set A base,RE: special-cased at 0x25da
0x00111000,0,0,,System block-set A +0x1000,
0x10111000,0,0,,System block-set A +0x1000,
0x20111000,0,0,,System block-set A +0x1000,
0x30111000,0,0,,System block-set A +0x1000,
0x40111000,0,0,,System block-set A +0x1000,
0x00111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x10111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x20111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x30111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x40111FFF,0,0,SKIP (bit7),System block-set A end,boundary probe
0x00125000,0,0,,System block-set B,RE: mask 0xfff000
0x10125000,0,0,,System block-set B,RE: mask 0xfff000
0x20125000,0,0,,System block-set B,RE: mask 0xfff000
0x30125000,0,0,,System block-set B,RE: mask 0xfff000
0x40125000,0,0,,System block-set B,RE: mask 0xfff000
0x00011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x10011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x20011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x30011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x40011000,0,0,,Per-part block 0x11000,RE: per-part regions
0x00012000,0,0,,Per-part block 0x12000,
0x10012000,0,0,,Per-part block 0x12000,
0x20012000,0,0,,Per-part block 0x12000,
0x30012000,0,0,,Per-part block 0x12000,
0x40012000,0,0,,Per-part block 0x12000,
0x00013000,0,0,,Per-part block 0x13000,
0x10013000,0,0,,Per-part block 0x13000,
0x20013000,0,0,,Per-part block 0x13000,
0x30013000,0,0,,Per-part block 0x13000,
0x40013000,0,0,,Per-part block 0x13000,
0x00014000,0,0,,Per-part block 0x14000,
0x10014000,0,0,,Per-part block 0x14000,
